image_path,text_caption,label
benign/benign (256).png,Sonographic appearance of benign breast.,benign
benign/benign (257).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (258).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (259).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (26).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (260).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (261).png,"A clinical ultrasound scan of breast, indicative of benign pathology.",benign
benign/benign (262).png,Sonographic appearance of benign breast.,benign
benign/benign (263).png,"A diagnostic ultrasound image of breast, with imaging features suggestive of benign.",benign
benign/benign (264).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (265).png,An ultrasound image of breast with benign findings.,benign
benign/benign (266).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (267).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (268).png,An ultrasound image of breast with benign findings.,benign
benign/benign (269).png,Sonographic appearance of benign breast.,benign
benign/benign (27).png,An ultrasound image of breast with benign findings.,benign
benign/benign (270).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (271).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (272).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (273).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (274).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (275).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (276).png,Sonographic appearance of benign breast.,benign
benign/benign (277).png,Sonographic appearance of benign breast.,benign
benign/benign (278).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (279).png,Sonographic appearance of benign breast.,benign
benign/benign (28).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (280).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (281).png,An ultrasound image of breast with benign findings.,benign
benign/benign (282).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (283).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (284).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (285).png,"A clinical ultrasound scan of breast, indicative of benign pathology.",benign
benign/benign (286).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (287).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (288).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (289).png,Sonographic appearance of benign breast.,benign
benign/benign (29).png,An ultrasound image of breast with benign findings.,benign
benign/benign (290).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (291).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (292).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (293).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (294).png,Sonographic appearance of benign breast.,benign
benign/benign (295).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (296).png,Sonographic appearance of benign breast.,benign
benign/benign (297).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (298).png,An ultrasound image of breast with benign findings.,benign
benign/benign (299).png,Sonographic appearance of benign breast.,benign
benign/benign (3).png,An ultrasound image of breast with benign findings.,benign
benign/benign (30).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (300).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (301).png,"A diagnostic ultrasound image of breast, with imaging features suggestive of benign.",benign
benign/benign (302).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (303).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (304).png,"A diagnostic ultrasound image of breast, with imaging features suggestive of benign.",benign
benign/benign (305).png,Sonographic appearance of benign breast.,benign
benign/benign (306).png,An ultrasound image of breast with benign findings.,benign
benign/benign (307).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (308).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (309).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (31).png,"A diagnostic ultrasound image of breast, with imaging features suggestive of benign.",benign
benign/benign (310).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (311).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (312).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (313).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (314).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (315).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (316).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (317).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (318).png,Sonographic appearance of benign breast.,benign
benign/benign (319).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (32).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (320).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (321).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (322).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (323).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (324).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (325).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (326).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (327).png,Sonographic appearance of benign breast.,benign
benign/benign (328).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (329).png,Sonographic appearance of benign breast.,benign
benign/benign (33).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (330).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (331).png,"A clinical ultrasound scan of breast, indicative of benign pathology.",benign
benign/benign (332).png,"A clinical ultrasound scan of breast, indicative of benign pathology.",benign
benign/benign (333).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (334).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (335).png,"A diagnostic ultrasound image of breast, with imaging features suggestive of benign.",benign
benign/benign (336).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (337).png,"A diagnostic ultrasound image of breast, with imaging features suggestive of benign.",benign
benign/benign (338).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (339).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (34).png,Sonographic appearance of benign breast.,benign
benign/benign (340).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (341).png,"A clinical ultrasound scan of breast, indicative of benign pathology.",benign
benign/benign (342).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (343).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (344).png,"A clinical ultrasound scan of breast, indicative of benign pathology.",benign
benign/benign (345).png,Sonographic appearance of benign breast.,benign
benign/benign (346).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (347).png,"A clinical ultrasound scan of breast, indicative of benign pathology.",benign
benign/benign (348).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (349).png,Sonographic appearance of benign breast.,benign
benign/benign (35).png,An ultrasound image of breast with benign findings.,benign
benign/benign (350).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (351).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (352).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (353).png,Sonographic appearance of benign breast.,benign
benign/benign (354).png,"A clinical ultrasound scan of breast, indicative of benign pathology.",benign
benign/benign (355).png,"A clinical ultrasound scan of breast, indicative of benign pathology.",benign
benign/benign (356).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (357).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (358).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (359).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (36).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (360).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (361).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (362).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (363).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (364).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (365).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (366).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (367).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (368).png,Sonographic appearance of benign breast.,benign
benign/benign (369).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (37).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (370).png,Sonographic appearance of benign breast.,benign
benign/benign (371).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (372).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (373).png,An ultrasound image of breast with benign findings.,benign
benign/benign (374).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (375).png,"A clinical ultrasound scan of breast, indicative of benign pathology.",benign
benign/benign (376).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (377).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (378).png,An ultrasound image of breast with benign findings.,benign
benign/benign (379).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (38).png,"A clinical ultrasound scan of breast, indicative of benign pathology.",benign
benign/benign (380).png,Sonographic appearance of benign breast.,benign
benign/benign (381).png,"A diagnostic ultrasound image of breast, with imaging features suggestive of benign.",benign
benign/benign (382).png,Sonographic appearance of benign breast.,benign
benign/benign (383).png,"A diagnostic ultrasound image of breast, with imaging features suggestive of benign.",benign
benign/benign (384).png,An ultrasound image of breast with benign findings.,benign
benign/benign (385).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (386).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (387).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (388).png,"A diagnostic ultrasound image of breast, with imaging features suggestive of benign.",benign
benign/benign (389).png,Sonographic appearance of benign breast.,benign
benign/benign (39).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (390).png,An ultrasound image of breast with benign findings.,benign
benign/benign (391).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (392).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (393).png,Sonographic appearance of benign breast.,benign
benign/benign (394).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (395).png,Sonographic appearance of benign breast.,benign
benign/benign (396).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (397).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (398).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (399).png,Sonographic appearance of benign breast.,benign
benign/benign (4).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (40).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (400).png,"A clinical ultrasound scan of breast, indicative of benign pathology.",benign
benign/benign (401).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (402).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (403).png,Sonographic appearance of benign breast.,benign
benign/benign (404).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (405).png,Sonographic appearance of benign breast.,benign
benign/benign (406).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (407).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (408).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (409).png,"A diagnostic ultrasound image of breast, with imaging features suggestive of benign.",benign
benign/benign (41).png,Sonographic appearance of benign breast.,benign
benign/benign (410).png,An ultrasound image of breast with benign findings.,benign
benign/benign (411).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (412).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (413).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (414).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (415).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (416).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (417).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (418).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (419).png,An ultrasound image of breast with benign findings.,benign
benign/benign (42).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (420).png,Sonographic appearance of benign breast.,benign
benign/benign (421).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (422).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (423).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (424).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (425).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (426).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (427).png,An ultrasound image of breast with benign findings.,benign
benign/benign (428).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (429).png,"A diagnostic ultrasound image of breast, with imaging features suggestive of benign.",benign
benign/benign (43).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (430).png,An ultrasound image of breast with benign findings.,benign
benign/benign (431).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (432).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (433).png,"A clinical ultrasound scan of breast, indicative of benign pathology.",benign
benign/benign (434).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (435).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (436).png,"A diagnostic ultrasound image of breast, with imaging features suggestive of benign.",benign
benign/benign (437).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (44).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (45).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (46).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (47).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (48).png,This ultrasound demonstrates breast exhibiting features of benign.,benign
benign/benign (49).png,"A diagnostic ultrasound image of breast, with imaging features suggestive of benign.",benign
benign/benign (5).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (50).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (51).png,Sonographic appearance of benign breast.,benign
benign/benign (52).png,"A diagnostic ultrasound image of breast, with imaging features suggestive of benign.",benign
benign/benign (53).png,An ultrasound image of breast with benign findings.,benign
benign/benign (54).png,An ultrasound image of breast with benign findings.,benign
benign/benign (55).png,Echographic findings of breast showing benign characteristics.,benign
benign/benign (56).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (57).png,A grayscale ultrasound demonstrating benign changes in breast.,benign
benign/benign (58).png,This sonogram of breast is consistent with a benign diagnosis.,benign
benign/benign (59).png,Ultrasound of breast presenting sonographic signs of benign.,benign
benign/benign (6).png,An ultrasound image of breast with benign findings.,benign
benign/benign (60).png,"A B-mode ultrasound of breast, consistent with benign.",benign
benign/benign (61).png,Sonographic appearance of benign breast.,benign
benign/benign (62).png,"A diagnostic ultrasound image of breast, with imaging features suggestive of benign.",benign
